"PP","Old_PP","PEACE PROCESS"
"1","1","Afghanistan: 1990s Taliban process"
"2","2","Afghanistan: 2000s Post-intervention process"
"3","3","Algeria: Bouteflika Process"
"4","4","Angola: UNITA process"
"5","5","Cote D'Ivoire: peace process"
"6","6","African Great Lakes: Regional Process"
"7","7","Argentina-UK: Falklands process"
"8","8","Azerbaijan-Nagorno Karabakh: Process"
"9","10","Bougainville: peace process"
"10","11","Bahrain: Reform-based peace process"
"11","12","Bangladesh-Chittagong Hills Tracts: peace process"
"12","13","Somalia/Puntland: Local Processes"
"13","16","CAR: Bangui process"
"14","17","CAR: coups and rebellions process"
"15","18","Comoros-Anjouan islands peace process"
"16","19","Burundi: Arusha and related peace process"
"17","20","Cambodian peace process"
"18","21","Cameroon-Nigeria border peace process"
"19","22","Russia-China-Central Asian borders interstate process"
"20","23","Djibouti: FRUD process"
"21","24","Darfur-Sudan peace process"
"22","25","Chad: 'third war' process"
"23","26","Chad-Libya border peace process"
"24","27","Sudan: Local Peace Processes"
"25","28","China-India border dispute peace process"
"26","29","Chad: Fourth War Process"
"27","30","China-Russia border dispute peace process"
"28","31","DRC: Second Congo war process"
"29","32","Nicaragua contra process"
"30","33","India-Darjeeling peace process"
"31","34","DRC: Eastern DRC processes"
"32","35","US-North Korea interstate process"
"33","36","Palestine, Intra-Palestian agreements"
"34","37","Djibouti-Eritrea border dispute peace process"
"35","39","Ecuador-Peru border dispute peace process"
"36","40","El Salvador peace process"
"37","41","Eritrea-Ethiopia border dispute peace process"
"38","42","Eritrea-Sudan peace process"
"39","43","Ethiopia peace process"
"40","44","Ogaden peace process"
"41","46","Libyan transitional process"
"42","47","Gabon peace process"
"43","48","Abkhazia peace process"
"44","49","South Ossetia peace process"
"45","51","Guatemala peace process"
"46","52","Guinea Bissau peace process"
"47","53","Rwanda-RPF process"
"48","54","Haitian peace process"
"49","55","Honduran constitutional crisis process"
"50","56","India Bodoland peace process"
"51","57","India-Hmar-Bodoland peace process"
