source,target,value
Basic information,Contp,10
Contp,Contp Government/territory,835
Contp,Contp Government,653
Contp,Contp Territory,108
Contp,Contp Inter-group,235
Contp,Contp Other,1
Basic information,Reg,10
Reg,Reg Europe and Eurasia,410
Reg Cross-regional,Middle East and North Africa,0
Reg,Reg Africa (excl MENA),554
Reg,Reg Asia and Pacific,377
Reg,Reg Americas,195
Basic information,Status,10
Status,Status Multiparty signed/agreed,1691
Status,Status Unilateral document,124
Status,Status Status unclear,10
Status,Status Agreement with subsequent status,7
Basic information,Agtp,10
Agtp,Agtp Intra,1273
Agtp,Agtp InterIntra,236
Agtp,Agtp Inter,72
Agtp,Agtp IntraLocal,251
Basic information,Stage,10
Stage,Stage Pre,510
Stage,Stage SubPar,457
Stage,Stage Imp,331
Stage,Stage SubComp,110
Stage Cea,Ren,0
Stage,Stage Oth,1
Basic information,StageSub,10
StageSub,StageSub PreMix,88
StageSub,StageSub MultIss,250
StageSub,StageSub ExtSub,107
StageSub,StageSub Prin,114
StageSub,StageSub ImpMod,188
StageSub,StageSub Proc,168
StageSub,StageSub Iss,191
StageSub,StageSub ImpOthFrAg,0
StageSub,StageSub FrparOth,13
StageSub,StageSub Ceas,210
StageSub,StageSub Rel,128
StageSub,StageSub Repre,Conf,0
StageSub,StageSub PreOth,45
StageSub,StageSub Reimp,15
StageSub,StageSub ExtPar,FrCons,0
StageSub,StageSub CeaMix,43
StageSub Resub,Reoth,0
Groups,GCh,10
GCh,GCh 2,110
GCh,GCh 1,121
GCh,GCh 3,79
GCh,GChRhet,10
GChRhet,GChRhet 1,150
GCh,GChAntid,10
GChAntid,GChAntid 1,6
GCh,GChSubs,10
GChSubs,GChSubs 1,192
GCh,GChOth,10
GChOth,GChOth 1,20
Groups,GDis,10
GDis,GDis 2,56
GDis,GDis 3,39
GDis,GDis 1,23
GDis,GDisRhet,10
GDisRhet,GDisRhet 1,38
GDis,GDisAntid,10
GDisAntid,GDisAntid 1,18
GDis,GDisSubs,10
GDisSubs,GDisSubs 1,88
GDis,GDisOth,10
GDisOth,GDisOth 1,5
Groups,GAge,10
GAge,GAge 3,24
GAge,GAge 1,25
GAge,GAge 2,35
GAge,GAgeRhet,10
GAgeRhet,GAgeRhet 1,33
GAge,GAgeAntid,10
GAgeAntid,GAgeAntid 1,14
GAge,GAgeSubs,10
GAgeSubs,GAgeSubs 1,54
GAge,GAgeOth,10
Groups,GMig,10
GMig,GMig 3,6
GMig,GMig 2,13
GMig,GMig 1,5
GMig,GMigRhet,10
GMigRhet,GMigRhet 1,5
GMig,GMigAntid,10
GMigAntid,GMigAntid 1,1
GMig,GMigSubs,10
GMigSubs,GMigSubs 1,18
GMig,GMigOth,10
Groups,GRa,10
GRa,GRa 1,110
GRa,GRa 3,97
GRa,GRa 2,148
GRa,GRaRhet,10
GRaRhet,GRaRhet 1,193
GRa,GRaAntid,10
GRaAntid,GRaAntid 1,102
GRa,GRaSubs,10
GRaSubs,GRaSubs 1,188
GRa,GRaOth,10
GRaOth,GRaOth 1,10
GRa,GRe,10
GRe,GRe 2,107
GRe,GRe 1,62
GRe,GRe 3,65
GRa,GReRhet,10
GReRhet,GReRhet 1,97
GRa,GReAntid,10
GReAntid,GReAntid 1,89
GRa,GReSubs,10
GReSubs,GReSubs 1,128
GRa,GReOth,10
GReOth,GReOth 1,12
Groups,GInd,10
GInd,GInd 3,41
GInd,GInd 1,34
GInd,GInd 2,41
GInd,GIndRhet,10
GIndRhet,GIndRhet 1,56
GInd,GIndAntid,10
GIndAntid,GIndAntid 1,6
GInd,GIndSubs,10
GIndSubs,GIndSubs 1,80
GInd,GIndOth,10
GIndOth,GIndOth 1,3
Groups,GOth,10
GOth,GOth 2,27
GOth,GOth 3,15
GOth,GOth 1,8
GOth,GOthRhet,10
GOthRhet,GOthRhet 1,13
GOth,GOthAntid,10
GOthAntid,GOthAntid 1,25
GOth,GOthSubs,10
GOthSubs,GOthSubs 1,23
GOth,GOthOth,10
GOthOth,GOthOth 1,1
Groups,GRef,10
GRef,GRef 2,106
GRef,GRef 1,262
GRef,GRef 3,108
GRef,GRefRhet,10
GRefRhet,GRefRhet 1,217
GRef,GRefSubs,10
GRefSubs,GRefSubs 1,290
GRef,GRefOth,10
GRefOth,GRefOth 1,7
Groups,GSoc,10
GSoc,GSoc 2,44
GSoc,GSoc 1,18
GSoc,GSoc 3,14
GSoc,GSocRhet,10
GSocRhet,GSocRhet 1,33
