id,value,color
PA-X,
PA-X.Basicinformation,
PA-X.Basicinformation.Contp,
PA-X.Basicinformation.Contp.Contp-Government-territory,835,#ff0000
PA-X.Basicinformation.Contp.Contp-Government,653,#ff0000
PA-X.Basicinformation.Contp.Contp-Territory,108,#ff0000
PA-X.Basicinformation.Contp.Contp-Inter-group,235,#ff0000
PA-X.Basicinformation.Contp.Contp-Other,1,#ff0000
PA-X.Basicinformation.Reg,
PA-X.Basicinformation.Reg.Reg-Europe-and-Eurasia,410,#ff0000
PA-X.Basicinformation.Reg.Reg-Cross-regional-Middle-East-and-North-Africa,0,#ff0000
PA-X.Basicinformation.Reg.Reg-Africa-(excl-MENA),554,#ff0000
PA-X.Basicinformation.Reg.Reg-Asia-and-Pacific,377,#ff0000
PA-X.Basicinformation.Reg.Reg-Americas,195,#ff0000
PA-X.Basicinformation.Status,
PA-X.Basicinformation.Status.Status-Multiparty-signed-agreed,169,#ff0000
PA-X.Basicinformation.Status.Status-Unilateral-document,124,#ff0000
PA-X.Basicinformation.Status.Status-Status-unclear,10,#ff0000
PA-X.Basicinformation.Status.Status-Agreement-with-subsequent-status,7,#ff0000
PA-X.Basicinformation.Agtp,
PA-X.Basicinformation.Agtp.Agtp-Intra,1273,#ff0000
PA-X.Basicinformation.Agtp.Agtp-InterIntra,236,#ff0000
PA-X.Basicinformation.Agtp.Agtp-Inter,72,#ff0000
PA-X.Basicinformation.Agtp.Agtp-IntraLocal,251,#ff0000
PA-X.Basicinformation.Stage,
PA-X.Basicinformation.Stage.Stage-Pre,510,#ff0000
PA-X.Basicinformation.Stage.Stage-SubPar,457,#ff0000
PA-X.Basicinformation.Stage.Stage-Imp,331,#ff0000
PA-X.Basicinformation.Stage.Stage-SubComp,110,#ff0000
PA-X.Basicinformation.Stage.Stage-Cea-Ren,0,#ff0000
PA-X.Basicinformation.Stage.Stage-Oth,1,#ff0000
PA-X.Basicinformation.StageSub,
PA-X.Basicinformation.StageSub.StageSub-PreMix,88,#ff0000
PA-X.Basicinformation.StageSub.StageSub-MultIss,250,#ff0000
PA-X.Basicinformation.StageSub.StageSub-ExtSub,107,#ff0000
PA-X.Basicinformation.StageSub.StageSub-Prin,114,#ff0000
PA-X.Basicinformation.StageSub.StageSub-ImpMod,188,#ff0000
PA-X.Basicinformation.StageSub.StageSub-Proc,168,#ff0000
PA-X.Basicinformation.StageSub.StageSub-Iss,191,#ff0000
PA-X.Basicinformation.StageSub.StageSub-ImpOthFrAg,0,#ff0000
PA-X.Basicinformation.StageSub.StageSub-FrparOth,13,#ff0000
PA-X.Basicinformation.StageSub.StageSub-Ceas,210,#ff0000
PA-X.Basicinformation.StageSub.StageSub-Rel,128,#ff0000
PA-X.Basicinformation.StageSub.StageSub-Repre-Conf,0,#ff0000
PA-X.Basicinformation.StageSub.StageSub-PreOth,45,#ff0000
PA-X.Basicinformation.StageSub.StageSub-Reimp,15,#ff0000
PA-X.Basicinformation.StageSub.StageSub-ExtPar-FrCons,0,#ff0000
PA-X.Basicinformation.StageSub.StageSub-CeaMix,43,#ff0000
PA-X.Basicinformation.StageSub.StageSub-Resub-Reoth,0,#ff0000
PA-X.Groups,
PA-X.Groups.GCh,
PA-X.Groups.GCh.GCh-2,110,#ff0000
PA-X.Groups.GCh.GCh-1,121,#ff0000
PA-X.Groups.GCh.GCh-3,79,#ff0000
PA-X.Groups.GCh.GChRhet,
PA-X.Groups.GCh.GChRhet-1,150,#ff0000
PA-X.Groups.GCh.GChAntid,
PA-X.Groups.GCh.GChAntid.GChAntid-1,6,#ff0000
PA-X.Groups.GCh.GChSubs,
PA-X.Groups.GCh.GChSubs.GChSubs-1,192,#ff0000
PA-X.Groups.GCh.GChOth,
PA-X.Groups.GCh.GChOth.GChOth-1,20,#ff0000
PA-X.Groups.GDis,
PA-X.Groups.GDis.GDis-2,56,#ff0000
PA-X.Groups.GDis.GDis-3,39,#ff0000
PA-X.Groups.GDis.GDis-1,23,#ff0000
PA-X.Groups.GDis.GDisRhet,
PA-X.Groups.GDis.GDisRhet.GDisRhet-1,38,#ff0000
PA-X.Groups.GDis.GDisAntid,
PA-X.Groups.GDis.GDisAntid.GDisAntid-1,18,#ff0000
PA-X.Groups.GDis.GDisSubs,
PA-X.Groups.GDis.GDisSubs.GDisSubs-1,88,#ff0000
PA-X.Groups.GDis.GDisOth,
PA-X.Groups.GDis.GDisOth.GDisOth-1,5,#ff0000
PA-X.Groups.GAge,
PA-X.Groups.GAge.GAge-3,24,#ff0000
PA-X.Groups.GAge.GAge-1,25,#ff0000
PA-X.Groups.GAge.GAge-2,35,#ff0000
PA-X.Groups.GAge.GAgeRhet,
PA-X.Groups.GAge.GAgeRhet.GAgeRhet-1,33,#ff0000
PA-X.Groups.GAge.GAgeAntid,
PA-X.Groups.GAge.GAgeAntid.GAgeAntid-1,14,#ff0000
PA-X.Groups.GAge.GAgeSubs,
PA-X.Groups.GAge.GAgeSubs.GAgeSubs-1,54,#ff0000
PA-X.Groups.GAge.GAgeOth,
PA-X.Groups.GMig,
PA-X.Groups.GMig.GMig-3,6,#ff0000
PA-X.Groups.GMig.GMig-2,13,#ff0000
PA-X.Groups.GMig.GMig-1,5,#ff0000
PA-X.Groups.GMig.GMigRhet,
PA-X.Groups.GMig.GMigRhet.GMigRhet-1,5,#ff0000
PA-X.Groups.GMig.GMigAntid,
PA-X.Groups.GMig.GMigAntid.GMigAntid-1,1,#ff0000
PA-X.Groups.GMig.GMigSubs,
PA-X.Groups.GMig.GMigSubs.GMigSubs-1,18,#ff0000
PA-X.Groups.GMig.GMigOth,0,#ff0000
PA-X.Groups.GRa,
PA-X.Groups.GRa.GRa-1,110,#ff0000
PA-X.Groups.GRa.GRa-3,97,#ff0000
PA-X.Groups.GRa.GRa-2,148,#ff0000
PA-X.Groups.GRa.GRaRhet,
PA-X.Groups.GRa.GRaRhet.GRaRhet-1,193,#ff0000
PA-X.Groups.GRa.GRaAntid,
PA-X.Groups.GRa.GRaAntid.GRaAntid-1,102,#ff0000
PA-X.Groups.GRa.GRaSubs,
PA-X.Groups.GRa.GRaSubs.GRaSubs-1,188,#ff0000
PA-X.Groups.GRa.GRaOth,
PA-X.Groups.GRa.GRaOth.GRaOth-1,10,#ff0000
PA-X.Groups.GRa.GRe,
PA-X.Groups.GRa.GRe.GRe-2,107,#ff0000
PA-X.Groups.GRa.GRe.GRe-1,62,#ff0000
PA-X.Groups.GRa.GRe.GRe-3,65,#ff0000
PA-X.Groups.GRa.GReRhet,
PA-X.Groups.GRa.GReRhet.GReRhet-1,97,#ff0000
PA-X.Groups.GRa.GReAntid,
PA-X.Groups.GRa.GReAntid.GReAntid-1,89,#ff0000
PA-X.Groups.GRa.GReSubs,
PA-X.Groups.GRa.GReSubs.GReSubs-1,128,#ff0000
PA-X.Groups.GRa.GReOth,
PA-X.Groups.GRa.GReOth.GReOth-1,
PA-X.Groups.GInd,
PA-X.Groups.GInd.GInd-3,41,#ff0000
PA-X.Groups.GInd.GInd-1,34,#ff0000
PA-X.Groups.GInd.GInd-2,41,#ff0000
PA-X.Groups.GInd.GIndRhet,
PA-X.Groups.GInd.GIndRhet.GIndRhet-1,56,#ff0000
PA-X.Groups.GInd.GIndAntid,
PA-X.Groups.GInd.GIndAntid.GIndAntid-1,6,#ff0000
PA-X.Groups.GInd.GIndSubs,
